native,kata,question,override_file
三十六,Sanseiryu | Sanshiryu,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
三戦,Sanchin | Sanchin (Kyokushin) | Sanchin (Ryuei-ryu) | Sanchin (To'on-ryu) | Sanchin (Uechi),"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
二十四歩,Nijushiho | Niseishi | Niseishi (Chito-ryu) | Niseishi (Wado-ryu),"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
五十四歩,Gojushiho | Sushiho | Useishi,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
八歩連,Happoren | Papuren,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
制引戦,Seienchin | Seienchin (Kyokushin) | Seiyunchin,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
十八,Seipai (Kyokushin) | Sepai,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
十六,Juroku | Seiryu,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
十手,Jitte | Jitte (Wado-ryu),"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
四方公相君,Kosokun Shiho | Shiho Kusanku,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
壮鎮,Sochin | Sochin (Shotokan),"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
壱百零八,Pechurin | Suparinpei (Wado-ryu),"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
大城の棍,Ufugushiku (Oshiro) no Kon | Ufugusuku no Kon,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
安南空,Ananku | Annanko,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
平安,Heian | Pinan (Wado-ryu),"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
平安三段,Heian Sandan | Pinan Sandan,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
平安二段,Heian Nidan | Pinan Nidan,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
平安五段,Heian Godan | Pinan Godan,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
平安初段,Heian Shodan | Pinan Shodan,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
平安四段,Heian Yondan | Pinan Yondan,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
慈恩,Jion | Jion (To'on-ryu) | Jion (Wado-ryu),"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
撃砕第一,Gekisai Ichi | Gekisai dai ichi,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
撃砕第二,Gekisai Ni | Gekisai dai ni,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
燕飛,Empi | Enpi,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
王冠,Ohan | Okan | Wankan | Wankan (Shotokan),"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
白虎,Byakko | Hakko | Heiku,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
白鵬,Hakuho | Paiho,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
砕破,Saifa | Saiha (Kyokushin),"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
転掌,Tensho | Tensho (Kyokushin),"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
雲手,Unshu | Unsu,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
青柳,Aoyagi | Seiryu (Asai Shotokan) | Seiryu (Shito-ryu),"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
鶴法,Kakuho | Tsuruho,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
鷺牌,Rohai | Rohai (Wado-ryu),"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
단군 / 檀君,Dan-Gun | Dhan-Goon,"how are these related? same form, variant, derivative, or only a shared name?",kata_relations.csv
