node_id,name,verdict,category,reason,status
Q1336547,Peichin Takahara,legendary,,"Takahara Peichin (traditional dates 1683-1760), teacher of Sakugawa in the early Shuri-te line; known almost entirely through oral tradition, so semi-legendary but belongs in the lineage.",proposed
Q1929108,Kusanku,legendary,,"18th-century Chinese envoy/martial artist in Okinawa (traditional dates c. 1670-1762), teacher of Sakugawa; semi-legendary figure known through oral tradition, with the Kusanku kata named for him. Belongs in the lineage flagged as such.",proposed
Q542989,Chatan Yara,legendary,,Early Okinawan master (circa 1668-1756) credited with transmitting Chinese arts and the Chatan Yara kata line; documentation is thin and semi-legendary. Belongs in the lineage flagged as such.,proposed
Q8031976,Wong Chung-Yoh,legendary,,Fuzhou-based Chinese martial artist attested only through Okinawan lineage tradition (claimed as Tatsuo Shimabuku's kung fu teacher in Isshin-Ryu histories); Wikidata lists as human but with no dates or independent documentation; keep in lineage flagged as poorly documented,proposed
Q921673,Kanga Sakukawa,legendary,,Sakugawa Kanga is a Kusanku/Chatan Yara-era figure whose dates are disputed across traditions (1733-1815 vs 1786-1867 as here); historicity accepted but details semi-legendary. Belongs in the lineage flagged as such.,proposed
Q954330,Ryu Ryu Ko,legendary,,"Ryu Ryu Ko, Higaonna Kanryo's teacher in Fuzhou, is a semi-legendary figure whose identity is disputed (often hypothesised as Xie Zhongxiang, 1852-1930, whence these dates). Belongs in the lineage flagged as such.",proposed
C00046,Chubu Shorin,non_person,organisation,"'Central (Chubu) Shorin[-ryu]' style/branch fragment, not a person",proposed
C00054,Enlightened Spirit,non_person,concept,"English translation of a term/dojo name, not a person",proposed
C00056,Eyed Toguchi,non_person,other,Broken fragment of the nickname 'One-Eyed Toguchi' (see C00404); artefact,proposed
C00059,Free Sparring,non_person,concept,"Training concept (jiyu kumite), not a person",proposed
C00060,Fukien Shaolin,non_person,place,"Fujian Shaolin temple/tradition (Chinese antecedent of Okinawan karate), not a person",proposed
C00061,Fukyu Ichi,non_person,kata,"Kata name (Fukyugata Ichi, Nagamine/Miyagi beginner kata), not a person",proposed
C00070,Gekisai Ichi,non_person,kata,"Kata name (Gekisai Dai Ichi, Goju-Ryu), not a person",proposed
C00082,Ginowan City,non_person,place,"Okinawan city, not a person",proposed
C00090,Hakutsuru Kamae,non_person,technique,"White Crane posture/stance (kamae), a technique term, not a person",proposed
C00096,Heiwa Road,non_person,place,"Heiwa-dori street in Naha, a place, not a person",proposed
C00109,Higashi Machi,non_person,place,"Higashimachi district of Naha, a place, not a person",proposed
C00110,Hija Bridge,non_person,place,"Hija bridge in Okinawa, a place, not a person",proposed
C00125,His Sanchin,non_person,other,Prose fragment referencing the Sanchin kata ('his Sanchin'); extraction artefact,proposed
C00127,Honan Chuan,non_person,other,"Chinese boxing style (Henan quan), not a person",proposed
C00128,Horizontal White,non_person,other,Prose fragment (likely describing a belt or crane technique); artefact,proposed
C00132,Hung Chia,non_person,other,"Chinese style (Hung Gar / Hongjia quan), not a person",proposed
C00134,Ichi Elementary,non_person,place,"School name fragment ('...Dai Ichi Elementary'), not a person",proposed
C00138,Inside Nakazato,non_person,other,Prose fragment ('inside Nakazato['s dojo]'); artefact,proposed
C00144,Itoman High,non_person,place,"Itoman High School, not a person",proposed
C00149,Jinpu Kamae,non_person,technique,"Kamae = stance/posture; technique term, not a person",proposed
C00164,Jumonji Kamae,non_person,technique,"Cross-shaped stance (jumonji kamae), a technique, not a person",proposed
C00169,Kadena Air,non_person,place,"Fragment of 'Kadena Air Base', not a person",proposed
C00170,Kadena Teachers,non_person,organisation,"Fragment of a Kadena teachers' school/institution, not a person",proposed
C00234,Kenkyu Sho,non_person,organisation,"Kenkyusho = research institute (Karate Kenkyusho), not a person",proposed
C00235,Kenpo Haku,non_person,media,"Kenpo Hakku, the eight precepts poem from the Bubishi, not a person",proposed
C00308,Kunyonto Order,non_person,concept,"Award: Kun Yonto = Order of the Sacred Treasure 4th class, not a person",proposed
C00309,Kusanku Dai,non_person,kata,"Kata name (Kusanku Dai), not a person",proposed
C00310,Kusanku Sho,non_person,kata,"Kata name (Kusanku Sho), not a person",proposed
C00313,Lohan Chuan,non_person,other,"Chinese style (Luohan quan, Monk Fist boxing), not a person",proposed
C00323,Marine Base,non_person,place,"US military base reference, not a person",proposed
C00360,Matsumura Orthodox,non_person,other,"Style name (Matsumura Seito/Orthodox Shorin-ryu), not a person",proposed
C00377,Nago High,non_person,place,"Nago High School, not a person",proposed
C00378,Naha Area,non_person,place,"Geographic descriptor, not a person",proposed
C00379,Naha Courthouse,non_person,place,"Building in Naha, not a person",proposed
C00380,Naha Municipal,non_person,place,"Fragment of a Naha municipal institution name, not a person",proposed
C00381,Naihanchi Ichi,non_person,kata,"Kata name (Naihanchi 1), not a person",proposed
C00382,Naihanchi Nidan,non_person,kata,"Kata name, not a person",proposed
C00383,Naihanchi Sandan,non_person,kata,"Kata name, not a person",proposed
C00384,Naihanchi Shodan,non_person,kata,"Kata name, not a person",proposed
C00386,Nansoye Shaolin,non_person,other,"Garbled reference to Southern Shaolin, a place/tradition, not a person",proposed
C00398,Nowadays Higa,non_person,other,"Prose fragment ('Nowadays Higa...'); artefact, referent is a Higa",proposed
C00401,Okinawa Kenpo,non_person,other,"Style name (Okinawa Kenpo, Nakamura Shigeru lineage), not a person",proposed
C00402,Okinawa Prefectural,non_person,organisation,"Fragment of a prefectural institution name, not a person",proposed
C00403,Okinawa Shorin,non_person,other,"Style fragment (Okinawa Shorin-ryu), not a person",proposed
C00406,Onna Village,non_person,place,"Okinawan village, not a person",proposed
C00407,Open Freesparring,non_person,concept,"Training/competition concept, not a person",proposed
C00408,Orthodox Shorin,non_person,other,"Style descriptor fragment (orthodox Shorin-ryu), not a person",proposed
C00410,Passai Dai,non_person,kata,"Kata name (Passai Dai), not a person",proposed
C00411,Passai Sho,non_person,kata,"Kata name (Passai Sho), not a person",proposed
C00412,Pinan Godan,non_person,kata,"Kata name (Pinan Godan), not a person",proposed
C00413,Pinan Ichi,non_person,kata,"Kata name (Pinan 1), not a person",proposed
C00414,Pinan Nidan,non_person,kata,"Kata name (Pinan Nidan), not a person",proposed
C00415,Pinan San,non_person,kata,"Kata name (Pinan 3), not a person",proposed
C00416,Pinan Sandan,non_person,kata,"Kata name (Pinan Sandan), not a person",proposed
C00417,Pinan Yon,non_person,kata,"Kata name (Pinan 4), not a person",proposed
C00418,Pinan Yondan,non_person,kata,"Kata name (Pinan Yondan), not a person",proposed
C00419,Popularisation Society,non_person,organisation,"Fragment of a karate popularisation society name, not a person",proposed
C00420,Prefectural Agricultural,non_person,organisation,"Fragment of 'Prefectural Agricultural School' (where Miyagi/Kyan taught), not a person",proposed
C00421,Prefectural Dai,non_person,organisation,"Fragment of 'Prefectural Dai Ichi Middle School', not a person",proposed
C00422,Prefectural Education,non_person,organisation,"Fragment of a prefectural education body, not a person",proposed
C00423,Prefectural Office,non_person,organisation,"Government building/office, not a person",proposed
C00424,Prefectural Teachers,non_person,organisation,"Fragment of 'Prefectural Teachers College' (Shihan Gakko), not a person",proposed
C00425,Preservation Society,non_person,organisation,"Fragment of a preservation society name (e.g. Ryukyu Kobudo Hozon Shinkokai), not a person",proposed
C00428,Research Club,non_person,organisation,"Fragment of 'Karate Research Club' (Kenkyukai), not a person",proposed
C00439,Ryukyu Shorin,non_person,other,"Style fragment (Ryukyu Shorin-ryu), not a person",proposed
C00445,Sacred Treasure,non_person,concept,"Award: Order of the Sacred Treasure, not a person",proposed
C00453,Schilling Recreation,non_person,place,"Fragment of a recreation centre name on a US base, not a person",proposed
C00526,Shorin Kan,non_person,organisation,"Shorinkan, a dojo/association (Nakazato lineage), not a person",proposed
C00543,Shuri Dai,non_person,place,"Fragment of a Shuri school name (e.g. Shuri Dai Ichi), not a person",proposed
C00544,Shuri High,non_person,place,"Shuri High School, not a person",proposed
C00545,Shuri Jinjo,non_person,place,"Shuri Jinjo (elementary) school, not a person",proposed
C00548,Siamese Highlands,non_person,place,"Geographic region (Siam/Thailand highlands), not a person",proposed
C00591,The Chibana,non_person,other,Prose fragment ('the Chibana [lineage/dojo]'); extraction artefact,proposed
C00592,The Eighteen,non_person,other,Prose fragment (likely 'the eighteen hands'/Seipai reference); artefact,proposed
C00593,The Greater,non_person,other,Prose fragment; extraction artefact,proposed
C00594,The Kodokan,non_person,organisation,"The Kodokan (judo institution), not a person",proposed
C00595,The Kushin,non_person,other,Fragment (likely Kushin-ryu style); not a person,proposed
C00596,The Matsumura,non_person,other,"Prose fragment ('the Matsumura [lineage]'); artefact, not a distinct person",proposed
C00597,The Oyadomaris,non_person,other,"Plural family reference ('the Oyadomaris'); prose fragment, not a single person",proposed
C00598,The Ryukyuan,non_person,other,Prose fragment; extraction artefact,proposed
