kata,relation,other_kata,confidence,stated_or_mirrored,note,sources
Anan,variant,Han,high,mirrored,"USA Goju practitioners perform Han, reported as nearly identical to Anan. Urban's route to the form is not documented.",https://www.karatebyjesse.com/ryuei-ryu-history-ramblings-kata-anan/
Aragaki no Seisan,cognate,Seisan,medium,stated,"Aragaki's is the earliest form we can put a date on - 24 March 1867 at the Ochayagoten - and it is a Kume/Naha form that nonetheless most resembles the Shuri/Japanese branch. That combination is why McCarthy proposes a single embryonic template behind everything: 'Based on the time frames, close geographical proximity, its physical makeup/unique features, and association with Aragaki, Higaonna, Iha, and Uechi... I think the one kata served as the original [if only embryonic] template from which",http://www.koryu-uchinadi.org/Aragaki_Seisan_&_Chokyu.pdf
Aragaki no Seisan,uncertain,Seisan (Uechi-ryu),low,stated,"A thread often pulled and never anchored. Nakaya Takao states that Aragaki accompanied Uechi Kanbun and Matsuda Tokusaburo on their 1897 crossing to China, and Aragaki's Seisan is sometimes invoked to explain features of the Uechi form. But Uechi's Seisan is attributed by his own line entirely to Zhou Zihe, learned over a decade in Fujian, and no transmission from Aragaki to Uechi is recorded. Listed so the claim is visible and marked as unsupported, not because it is likely.",http://irkrs.blogspot.com/2013/04/aragaki-seisho-tsuji-pechin-1840-1920.html
Aragaki no Seisan,uncertain,Sesan,medium,stated,"UNRESOLVED INSIDE GOJU ITSELF. Aragaki taught Higaonna Kanryo for about three years from 1867, BEFORE Higaonna sailed for Fuzhou - so Higaonna held an Okinawan Seisan before a Chinese one. Some accounts accordingly describe the Goju form as 'a personalization of Seisho Aragaki's Seisan by Kanryo Higashionna and Chojun Miyagi'; the orthodox Goju account traces it wholly to Ryu Ryu Ko, and Miyagi's 1915 verification in Fuzhou with a surviving Ryu Ryu Ko student is offered in support. Both may be p",http://www.koryu-uchinadi.org/Aragaki_Seisan_&_Chokyu.pdf | https://www.gkrkarate.com/about-gkr/black-belt-3rd-dan/seisan-history/
Aragaki no Seisan,uncertain,Hangetsu,low,mirrored,"THE COMPETING CANDIDATE, and the one the tradition never considers. Aragaki no Seisan 'bears the closest surface resemblance to the Shotokan kata Hangetsu' of any Okinawan version. Three further things point the same way: Funakoshi classified Hangetsu as 'Shorei', his Naha-associated category; Hangetsu retains sustained tension breathing which is a Naha-te trait rare everywhere else in Shotokan; and Funakoshi knew Aragaki personally and wrote about him. Against it: no transmission from Aragaki t",https://en.wikipedia.org/wiki/Seisan | http://isshin-concentration.blogspot.com/2023/10/when-many-knowledgeable-people-chime-in.html
Bassai,derived_from,Bassai Dai,medium,stated,"Medium rather than high only because Hwang Kee never identified which books he used, so the specific redaction cannot be pinned, and some hold his version closer to Mabuni's Shito-ryu than to Funakoshi's. The Korea-from-Japan direct",en.wikipedia.org/wiki/Hwang_Kee; en.wikipedia.org/wiki/Tang_Soo_Do | archive.org/stream/TangSooDoHISTORYV15b | blackbeltwiki.com/bassai
Bassai Dai,derived_from,Itosu no Passai,high,stated,"Bassai Dai is the Japanese redaction of Itosu's Passai: renamed 抜塞 with the reading Bassai in 1935-36, restyled with kokutsu-dachi replacing neko-ashi-dachi and longer stances generally. Funakoshi's 1922 book still printed the name in katakana with no kanji. Funakoshi learned Passai from Itosu and took it to Japan; Itosu died in 1915, before Funakoshi's mainland demonstrations and long before the 1935-36 renaming, so the Japanese form cannot have fed back. Later Shotokan modifications by Gigo Fu",ja.wikipedia.org/wiki/パッサイ; weblio.jp/content/パッサイ | en.wikipedia.org/wiki/Passai
Bassai Dai,ancestor_of,Bassai,medium,mirrored,"Medium rather than high only because Hwang Kee never identified which books he used, so the specific redaction cannot be pinned, and some hold his version closer to Mabuni's Shito-ryu than to Funakoshi's. The Korea-from-Japan direct",en.wikipedia.org/wiki/Hwang_Kee; en.wikipedia.org/wiki/Tang_Soo_Do | archive.org/stream/TangSooDoHISTORYV15b | blackbeltwiki.com/bassai
Bassai Dai,ancestor_of,Passai (Wado-ryu),high,mirrored,"Otsuka then reworked it through Shindo Yoshin-ryu body mechanics, which is the Wado-specific layer. Motobu's and Mabuni's influence on Otsuka attaches mainly to Naihanchi and the Pinan, not to Bassai. Otsuka was Funakoshi's student and took the kata from him; the flow is Shotokan to Wado. Refinement worth recording: Otsuka learned it in the 1920s, before Gigo Funakoshi and the JKA restyled Shotokan's version, so Wado's Bassai and modern Shotokan's Bassai Dai are better understood as two descenda",en.wikipedia.org/wiki/Hironori_Otsuka | usawadoryu.com/history-of-wado-ryu-karate-do/
Bassai Dai,namesake,Passai Dai,medium,mirrored,"Scoped, and true only within the Chibana/Kobayashi line, where Passai Dai is Tawada's form and Bassai Dai is Itosu's. Outside that line, in Shito-ryu and general Okinawan usage, the two names denote the same kata. This is precisely why 'Passai Dai' cannot be collapsed to a single node without a line qualifier.","'La revisione del kata Passai di Anko Itosu', karate-shorin-ryu-piemonte.webnode.it | ikigaiway.com/making-sense-of-passai-an-exploration-of-origin-and-style/ | tanzadeh.com Shito-ryu kata pages"
Bassai Dai,same,Passai Sho,high,mirrored,"The cross-style equivalence the naming hides: Kobayashi Shorin-ryu's Passai Sho and Shotokan's Bassai Dai are the same kata, both being Itosu's Passai, differing only by the Japanese restyling (kokutsu-dachi for neko-ashi-dachi, longer stances). Read the names alone and you get this exactly backwards.","'La revisione del kata Passai di Anko Itosu', karate-shorin-ryu-piemonte.webnode.it"
Bassai Dai,variant,Bassai Sho,medium,mirrored,"Recorded because the pairing is how practitioners meet them, but 'companion form' does more work than the evidence supports. They share the opening idea and a body of technique; Bassai Sho is shorter, turns on rapid changes of position and hip power, and carries a bo-defence reading through its first half. The dai/sho pairing is a naming convention Itosu's generation applied to several kata, Kusanku Dai and Sho likewise, not proof that one author designed a matched set.","kenseis-shogyu.blogspot.com/2011/04/bassai-sho-to-destroy-smaller.html | tanzadeh.com Bassai Sho page | Joe Swift, 'Roots of Shotokan: Funakoshi's Original 15 Kata, Part 1', fightingarts.com"
Bassai Sho,derived_from,Itosu no Passai,medium,stated,"This answers the client's Bassai Sho question as far as the evidence allows. The Itosu-era date holds: Mabuni's own kata classification lists Bassai sho alongside Bassai dai under Itosu-ha, and Funakoshi already named both a Passai Dai and a Passai Sho in 1922 among kata he knew but did not teach. So it is not a JKA-era invention. What does NOT hold is the flat credit 'created by Itosu': there is no statement from Itosu, and 'companion form composed by Itosu' is a tradition of exactly the kind t","Joe Swift, 'Roots of Shotokan: Funakoshi's Original 15 Kata, Part 1', fightingarts.com | 'How the Passai Sho (Bassai Sho) arrived in Japan', karate-shorin-ryu-piemonte.webnode.it"
Bassai Sho,variant,Bassai Dai,medium,stated,"Recorded because the pairing is how practitioners meet them, but 'companion form' does more work than the evidence supports. They share the opening idea and a body of technique; Bassai Sho is shorter, turns on rapid changes of position and hip power, and carries a bo-defence reading through its first half. The dai/sho pairing is a naming convention Itosu's generation applied to several kata, Kusanku Dai and Sho likewise, not proof that one author designed a matched set.","kenseis-shogyu.blogspot.com/2011/04/bassai-sho-to-destroy-smaller.html | tanzadeh.com Bassai Sho page | Joe Swift, 'Roots of Shotokan: Funakoshi's Original 15 Kata, Part 1', fightingarts.com"
