survivor_id,merged_ids,reason,status
,,"[bobby lowe] Different people, but one is a wrong entity: Q221797 (1929-2011) is Bobby Lowe the Kyokushin karateka, Mas Oyama's first uchi-deshi, and is correct. Q4935308 (1865-1951) is verified on Wikidata as Robert Lincoln 'Link' Lowe, the American baseball player; its Mas Oyama teacher edge is spurious. Recommend deleting Q4935308 from the dataset rather than keeping it as a distinct karate node. [RESOLVED: not a merge; wrong-entity QID dropped via node_verdicts.csv instead.]",rejected
,,"[hideo yamamoto] Different people, but one is a wrong entity: Q15987804 (b. 1955, Tokyo) is verified on Wikidata as the karateka and is the correct node (JKA lineage under Masatoshi Nakayama). Q605735 (b. 1968) is verified as Hideo Yamamoto the manga artist (Ichi the Killer, Homunculus); its Nakayama teacher edge is spurious. Recommend deleting Q605735 from the dataset rather than keeping it as a distinct karate node. [RESOLVED: not a merge; wrong-entity QID dropped via node_verdicts.csv instead.]",rejected
C00020,C00029,"Two manual C-ids, identical name and style: duplicate entry of one Motobu family figure.",proposed
C00021,C00030,"Two manual C-ids, identical name and style: duplicate entry of one Motobu family figure.",proposed
C00031,C00048,"Two manual C-ids, identical name including the 'Dr' honorific: duplicate entry.",proposed
C00032,C00049,"Two manual C-ids, identical name and style, no conflicting data: duplicate entry.",proposed
C00033,C00051,"Two manual C-ids, identical name: duplicate entry. Note: this group and the 'eizo shimabukuro' group are romanisation variants of the same person, Eizo Shimabukuro (1925-2017), Shorin-Ryu Shobayashi grandmaster and brother of Tatsuo Shimabuku; a cross-group merge with C00034/C00052 is warranted.",proposed
C00034,C00052,"Two manual C-ids, identical name: duplicate entry. Note: same historical person as the 'eizo shimabuku' group (spelling variant); recommend a cross-group merge with C00033/C00051 as well.",proposed
C00035,C00050,Identical C-id pair. Eisuke Akamine (1925-1999) is the Ryukyu kobudo master who succeeded Taira Shinken; only one such person.,proposed
C00036,C00053,"Two manual C-ids, identical distinctive Western name and style: duplicate entry.",proposed
C00039,C00058,"Two manual C-ids, identical unusual name form 'Franklin DR Hargrove': duplicate entry.",proposed
C00040,C00062,"Two manual C-ids, identical name and style, no conflicting data: duplicate entry.",proposed
C00041,C00063,"Two manual C-ids, identical name and style, no conflicting data: duplicate entry.",proposed
C00045,C00071,"Two manual C-ids, identical name: duplicate entry of the Ryuei-Ryu family figure Genkai Nakaima.",proposed
C00074,C00115,"Two manual C-ids, identical name and style, no conflicting data: duplicate entry.",proposed
C00075,C00224,Kenchu Nakaima is a single figure in the Ryuei-Ryu Nakaima family lineage; two bare C-ids are a double entry.,proposed
C00077,C00116,"Two manual C-ids, identical name and style, no conflicting data: duplicate entry.",proposed
C00078,C00121,"Two manual C-ids, identical name and style, no conflicting data: duplicate entry.",proposed
C00079,C00122,"Two manual C-ids, identical name and style, no conflicting data: duplicate entry.",proposed
C00080,C00123,"Two manual C-ids, identical name, same generic style, no distinguishing data: double entry of one person.",proposed
C00081,C00124,"Two manual C-ids, identical name and style, no conflicting data: same person entered twice.",proposed
C00089,C00140,"Two manual C-ids, identical name and style, no conflicting data: same person entered twice.",proposed
C00094,C00154,"Two manual C-ids, identical name and style, no conflicting data: same person entered twice.",proposed
C00095,C00155,"Two manual C-ids, identical name and style, no conflicting data: same person entered twice.",proposed
C00098,C00158,"Joen Nakazato is a single well-known figure (Okinawan Shorinji-ryu founder, student of Chotoku Kyan); two bare C-ids are a double entry.",proposed
C00099,C00161,"Two manual C-ids, identical rare Okinawan name, same style: same person entered twice.",proposed
C00100,C00160,"Two manual C-ids, identical rare name, same style: same person entered twice.",proposed
C00101,C00163,"Two manual C-ids, identical name and style, no conflicting data: same person entered twice.",proposed
C00102,C00166,"Two manual C-ids, identical rare name, same style: same person entered twice.",proposed
C00103,C00167,"Two manual C-ids, identical rare name, same style: same person entered twice.",proposed
C00104,C00168,"Two manual C-ids, identical rare name, same style: same person entered twice.",proposed
