source,target,source_name,target_name,action,repoint_to,reason,status,new_confidence
Q705617,Q557301,Chomo Hanashiro,Ankichi Arakaki,keep,,"Historically correct: Ankichi Arakaki (1899-1927) trained under Chomo Hanashiro alongside Shinpan Gusukuma and Choshin Chibana. Birth order is consistent (1869 -> 1899). The cycle this edge sits in is broken by the false Nagamine -> Matsumura edge, not this one.",proposed,
Q557301,Q1963468,Ankichi Arakaki,Shoshin Nagamine,keep,,"Correct: Shoshin Nagamine (Matsubayashi-ryu founder) named Ankichi Arakaki as one of his principal teachers, with Chotoku Kyan and Choki Motobu. Birth order consistent. Cycle is caused by the spurious Nagamine -> Matsumura edge.",proposed,
Q715769,Q527422,Matsumura Sokon,Anko Itosu,keep,,One of the best-attested relationships in karate history: Itosu was Matsumura Sokon's student in Shuri-te. Birth order consistent (1809 -> 1831). Flagged only because it lies on a cycle broken elsewhere (Nagamine -> Matsumura).,proposed,
Q527422,Q705617,Anko Itosu,Chomo Hanashiro,keep,,"Correct: Hanashiro was a long-time student and then assistant of Itosu until Itosu's death in 1915 (he also trained earlier under Matsumura). Birth order consistent. Cycle broken by the Nagamine -> Matsumura edge, not this one.",proposed,
Q1351759,Q542989,Chatan,Chatan Yara,drop,,"Non-person endpoint: Q1351759 is Chatan, the Okinawan town from which Chatan Yara takes his name. Scrape noise from text mentioning the place name; not a teacher-student relationship.",proposed,
Q542989,Q1351759,Chatan Yara,Chatan,drop,,"Reverse of the same noise edge: Chatan is a town, not a person. Chatan Yara cannot have taught a municipality.",proposed,
Q11064618,Q542989,bo,Chatan Yara,drop,,Non-person endpoint: 'bo' (Q11064618) is the staff weapon. Text on Chatan Yara's page about the bo (e.g. the kata Chatan Yara no Kon) was misparsed as a teacher relationship.,proposed,
Q845354,Q542989,sai,Chatan Yara,drop,,"Non-person endpoint: 'sai' (Q845354) is the weapon, misparsed from text about the kata Chatan Yara no Sai. Not a person, not a relationship.",proposed,
Q699236,Q221121,Higaonna Kanryo,Chojun Miyagi,keep,,"Foundational Naha-te lineage: Chojun Miyagi was Higaonna Kanryo's principal student and founded Goju-Ryu from his teaching. Birth order consistent (1853 -> 1888). The cycle is caused by the impossible Miyazato/Higaonna edges, which are dropped.",proposed,
Q221121,Q5349190,Chojun Miyagi,Eiichi Miyazato,keep,,"Correct: Eiichi Miyazato was Miyagi's senior student, continued teaching at the Miyagi garden dojo after his death and founded the Jundokan. Birth order consistent (1888 -> 1922). Cycle broken by dropping the Higaonna-Miyazato edges.",proposed,
Q1071733,Q705617,Choshin Chibana,Chomo Hanashiro,drop,,"Not a teacher-student pair in either direction. Both were students of Anko Itosu; Hanashiro (b. 1869) was the senior, serving as Itosu's assistant, and on Hanashiro's death in 1945 Chibana became the acknowledged successor of the Itosu line. The 'learned_from' text pattern almost certainly picked up this succession/seniority context (or their joint 1918 Karate Kenkyukai membership), not direct tuition. Flipping would assert Hanashiro formally taught Chibana, which standard sources (Chibana's teacher is given as Itosu) do not support.",proposed,
Q5042308,Q2673,Carlos Machado,Chuck Norris,keep,,"Correct despite the age inversion: Carlos Machado (b. 1963) taught Brazilian jiu-jitsu to Chuck Norris (b. 1940), who earned his BJJ black belt under the Machado brothers. A younger person teaching an older one is legitimate here.",proposed,
Q699236,Q5349190,Higaonna Kanryo,Eiichi Miyazato,drop,,"Chronologically impossible and historically false: Higaonna Kanryo died in 1915, seven years before Miyazato was born (1922). Miyazato's teacher was Chojun Miyagi. The 'learned_from' text on Miyazato's page describes Miyagi learning from Higaonna (grand-teacher context), which the scraper misattributed. The true chain Higaonna -> Miyagi -> Miyazato is already present as separate edges, so nothing needs repointing.",proposed,
Q5349190,Q699236,Eiichi Miyazato,Higaonna Kanryo,drop,,"Reverse of the same impossible pairing: Higaonna died in 1915 before Miyazato's birth, so neither taught the other. Scrape noise from lineage prose on the Miyazato/Jundokan page.",proposed,
Q2408025,Q190141,catch wrestling,Kano Jigoro,drop,,"Non-person endpoint: 'catch wrestling' is a grappling style, not a teacher. Misparsed text about judo's relationship to Western wrestling.",proposed,
Q128059,Q190141,Kata guruma,Kano Jigoro,drop,,"Non-person endpoint: Kata guruma is a judo throw (one Kano famously developed from a wrestling fireman's carry), not a person.",proposed,
Q182634,Q190141,rickshaw,Kano Jigoro,drop,,"Non-person endpoint: 'rickshaw' is a vehicle, presumably misparsed from an anecdote on Kano's page. Not a relationship.",proposed,
Q148,Q453505,Peoples Republic of China,Kenwa Mabuni,drop,,"Non-person endpoint: a state cannot be a teacher. Likely misparsed text about Chinese origins of kata Mabuni preserved in Shito-Ryu. Mabuni's actual teachers (Itosu, Higaonna) should already be separate edges.",proposed,
Q3028499,Q715769,Kosaku Matsumora,Matsumura Sokon,drop,,"Historically false in both directions, almost certainly name-confusion noise (Matsumora vs Matsumura). Kosaku Matsumora (1829-1898) was a Tomari-te master taught by Karyu Uku and Kishin Teruya; Matsumura Sokon (b. 1809) was the senior Shuri-te master. Neither taught the other; they led parallel traditions. Low-confidence single 'student_keyword' evidence supports dropping rather than flipping.",proposed,
Q294548,Q4935308,Mas Oyama,Bobby Lowe,drop,,"Spurious duplicate: the real Mas Oyama -> Bobby Lowe edge already exists on Q221797; this one targets the baseball player QID, which is dropped.",proposed,
Q954330,Q584466,Ryu Ryu Ko,Arakaki Seisho,keep,,"Keep as date noise per panel guidance: Ryu Ryu Ko's dates are highly disputed (the 1852 birth year is one contested reconstruction; other accounts place him decades earlier). Okinawan tradition records Arakaki Seisho among the Naha-te men who studied in Fuzhou under Ryu Ryu Ko and Wai Xinxian. The 12-year apparent inversion is within the uncertainty of Ryu Ryu Ko's biography, and the multi-source evidence (infobox both directions plus both Wikidata properties) supports a genuine relationship in this direction.",proposed,
Q7446703,Q3482635,Seiichi Iju,Shugoro Nakazato,keep,,"Verified on Wikipedia: Seiichi Iju (a student of Shinpan Shiroma/Gusukuma) was Shugoro Nakazato's first karate teacher, in Sakai City, Osaka, from 1935 to 1940, before Nakazato trained under Chibana. The source_birth of 2011 is data noise (Iju's actual dates are early 20th century), not evidence against the edge. Flag the birth year for correction in the node table.",proposed,
