name,native,variants,family,styles,level,renamed_from,meaning,era,origin_person,origin_place,modifier,modified_era,introduced_by,disputed,provenance,sources
Aoyagi,青柳,Aoyanagi; Seiryu; Seiryu (Konishi); Seiryū (alternative reading of the same kanji),japanese,hayashi-ha-shito-ryu|itosu-ryu|shindo-jinen-ryu|shito-kai|shito-ryu,junior,,green willow,c. 1935-1940,Kenwa Mabuni and Yasuhiro Konishi,"Tokyo/Osaka, Japan","Kenwa Mabuni and Yasuhiro Konishi, reportedly on advice from Morihei Ueshiba",c. 1935-1940,Kenwa Mabuni (created); Yasuhiro Konishi (created); Morihei Ueshiba (modified),yes,Composed in Japan as a self-defence form for women; one of the small group of 20th-century Japanese compositions in the WKF canon.,"WKF Competition Rules, Appendix: Official Kata List"
Bassai (Wado-ryu),抜塞,Bassai Dai; Passai; Passai Dai; Passai (Wado-ryu),japanese,wado-kai|wado-kokusai|wado-ryu|wado-ryu-karate-do-renmei|shintani-wado-kai,middle,Passai,'To storm a fortress',Passai lineage by the mid-19th century; Wado version 1930s,Unknown (Matsumura and Oyadomari Passai traditions); Wado redaction by Hironori Otsuka,,Hironori Otsuka,1930s-1970s,Anko Itosu (modified); Gichin Funakoshi (brought); Hironori Otsuka (modified); Tatsuo Suzuki (transmitted),yes,Passai (Shuri/Tomari) > Itosu > Gichin Funakoshi > Otsuka > Wadokai/Wado Kokusai,"Otsuka H. Wado-ryu Karate (1970; Eng. trans. 1997) | Suzuki T. Karate-do (1967) | Bishop M. Okinawan Karate, 2nd ed. (1999), Appendix C"
Bassai Dai,抜塞大,Bassai; Bassai (Korean); Bassai (Wado); Matsumura no Passai; Passai; Passai Dai; Tomari Passai,japanese,japanese-karate-generic|jka|shito-ryu|shotokai|shotokan|shuri-te|skif|wado-ryu|ska|gosoku-ryu|asai-ryu|iskf|jska|kase-ha|kenkojuku|kwf|kyokushin|shito-kai,middle,"Passai (パッサイ), specifically Itosu no Passai (Passai Dai)",'To storm/extract a fortress' (Funakoshi's gloss on the Okinawan name Passai),Passai lineage by the mid-19th century; Shotokan name adopted 1935,Unknown; the Passai tradition is transmitted through the Matsumura and Oyadomari lines,,"Anko Itosu (the version Funakoshi learned), then Gigo Funakoshi and the JKA",Itosu c. 1900s; Shotokan form fixed late 1930s-1950s,Sokon Matsumura (transmitted); Kokan Oyadomari (transmitted); Anko Itosu (modified); Gichin Funakoshi (renamed); Gigo Funakoshi (modified); Masatoshi Nakayama (standardised); Anko Itosu (standardised),yes,"Matsumura/Oyadomari Passai > Itosu > Gichin Funakoshi (Tokyo, 1922) > Gigo Funakoshi > JKA","Funakoshi G. Karate-do Kyohan (1935; Ohshima trans. 1973) | Nakayama M. Best Karate vol. 5 (Kodansha, 1979) | Bishop M. Okinawan Karate, 2nd ed. (1999), Appendix C | Sells J. Unante: The Secrets of Karate, 2nd ed. (2000)"
Bassai Sho,抜塞小,Kosokun-related Bassai Sho; Passai Sho,japanese,itosu-ryu|japanese-karate-generic|jka|shito-ryu|shotokan|skif|ska|asai-ryu|iskf|jska|kase-ha|kwf|shito-kai|tang-soo-do,middle,"Passai Sho (抜塞小), Itosu's shorter companion form",'Minor storming of a fortress',Itosu creation c. 1900s; Shotokan name adopted 1935,Anko Itosu,"Shuri, Okinawa",Masatoshi Nakayama and the JKA technical committee,1950s-1960s,Anko Itosu (created); Gichin Funakoshi (renamed); Masatoshi Nakayama (standardised),yes,Itosu (Shuri) > Gichin Funakoshi > JKA,"Funakoshi G. Karate-do Kyohan (1935; Ohshima trans. 1973) | Nakayama M. Best Karate vol. 8 (Kodansha, 1980) | Bishop M. Okinawan Karate, 2nd ed. (1999), Appendix C | WKF Kata List, 2nd edition (2019, rev. 2022)"
Chinto (Wado-ryu),チントウ,Chintou; Gankaku (Shotokan cognate),japanese,wado-ryu|shintani-wado-kai|wado-kai|wado-kokusai|wado-ryu-karate-do-renmei,middle,,"Named, per established folklore, after the stranded Chinese sailor Chinto whose fighting methods Matsumura recorded; Otsuka kept the Okinawan name where Funakoshi had substituted Gankaku.","Wado version 1930s (declared among the nine official kata, 1977)",attributed to Sokon Matsumura (folklore); Wado adaptation by Hironori Otsuka,"Okinawa; adapted in Tokyo, Japan",,,Sokon Matsumura (created); Hironori Otsuka (standardised),yes,"Otsuka's Chinto keeps the straight-line embusen and crane stances but re-engineers the form around Wado principles of evasion and body-shifting rather than Shotokan's deep power line, making it the most advanced of the nine official Wado kata. Otsuka declared it among the nine official kata in 1977. THE ROW THE CLIENT FLAGGED. It carried the single id wado-ryu while every sibling Wado row carried three or four. Added wado-kai, wado-kokusai, wado-ryu-karate-do-renmei, shintani-wado-kai. Chinto is one of Otsuka's nine declared official kata and is a WKF shitei kata for Wado-ryu, so it is universal across every Wado body. CANONICAL FORM: 'Chinto' (the existing tomari-te row, which already lists wado-ryu).",https://en.wikipedia.org/wiki/Wad%C5%8D-ry%C5%AB | https://www.karatephilosophy.com/a-complete-list-of-wado-ryu-katas-with-videos/ | https://en.wikipedia.org/wiki/Chint%C5%8D
Empi,燕飛,Enpi; Wanshu; Wansu,japanese,shotokan|shotokai|gosoku-ryu|jka|skif|ska|japanese-karate-generic|asai-ryu|iskf|jska|kase-ha|kenkojuku|kwf,middle,Wanshu (汪輯),"'Flying swallow': named for the kata's swift rising and dropping movements and darting changes of level, likened to a swallow in flight.",renamed 1935 (Wanshu lineage traditionally dated 1683),Tomari-te lineage attributed to the Chinese envoy Wang Ji (Wanshu); renamed by Gichin Funakoshi,"Tomari, Okinawa; renamed in Tokyo, Japan",Gigo (Yoshitaka) Funakoshi (Q628761); Masatoshi Nakayama (Q384558) and the JKA,Gigo c. 1936-1945; JKA form 1950s-1970s,Gichin Funakoshi (renamed),yes,"Funakoshi's Japanese rename of the Tomari kata Wanshu, traditionally (folklore) traced to the 1683 Chinese sapposhi Wang Ji. The Shotokan version follows the Itosu line of the kata and was further polished during the 1930s-40s reforms associated with Gigo Funakoshi. Renamer: Gichin Funakoshi, Karate-dō Kyōhan (1935). Wholly new characters: 燕飛, 'flight of the swallow', named for the rising and dropping in the form, replacing the personal name Wanshu. The Shotokan line descends from Itosu's Wanshu, not from Kyan's. Gigo's revision supplied the long stances and the driving rear leg; the JKA fixed the competition tempo. DATA FIX: rows 52 (Empi) and 53 (Enpi) are the same kata entered twice with conflicting eras (1935 against 1936) and different style lists. They should be merged, keeping 1935 and the union of the style ids. Same kata as the 'Enpi' entry; both spellings are in use. Same addit",https://en.wikipedia.org/wiki/Wansh%C5%AB | https://www.historyoffighting.com/shotokan-kata-history-part-one.php | https://www.shotokankarateonline.com/blog/the-27-shotokan-kata/
Enpi,燕飛,Empi; Wanshu; Wansu,japanese,japanese-karate-generic|shotokai|shotokan|jka|skif|ska|gosoku-ryu|asai-ryu|iskf|jska|kase-ha|kenkojuku|kwf,middle,Wanshu,flight of the swallow,renamed 1936; Wanshu lineage traditionally dated 1683,Wang Ji (Wanshu) per folklore; renamed by Gichin Funakoshi,,Gigo Funakoshi and Masatoshi Nakayama,late 1930s to 1950s,Wang Ji (transmitted); Kosaku Matsumora (standardised); Gichin Funakoshi (renamed); Masatoshi Nakayama (standardised),yes,Nagamine records 'Wanshu was changed to Enpi'.,"WKF Competition Rules, Appendix: Official Kata List"
Gankaku,岩鶴,Chinto; Chintou,japanese,gosoku-ryu|japanese-karate-generic|shotokai|shotokan|jka|skif|ska|asai-ryu|iskf|jska|kase-ha|kenkojuku|kwf,senior,Chinto,crane on a rock,renamed 1936; Chinto lineage mid-19th century,"The shipwrecked Chinese of the Chinto tradition, who is not on our roster; renamed by Gichin Funakoshi","Tomari/Shuri, Okinawa; renamed in Tokyo, Japan",Gigo Funakoshi and Masatoshi Nakayama,late 1930s to 1950s,Sokon Matsumura (standardised); Anko Itosu (standardised); Gichin Funakoshi (renamed); Masatoshi Nakayama (standardised); Sokon Matsumura (created),yes,Nagamine records 'Chinto was changed to Gankaku'. The Shotokan version reorients the embusen relative to the Okinawan Chinto.,"WKF Competition Rules, Appendix: Official Kata List"
Gankaku Sho,岩鶴小,Gankaku Nidan,japanese,asai-ryu|japanese-karate-generic|shotokan,senior,,"'Crane on a rock, minor'",c. 1980s-2000s,Tetsuhiko Asai,"Tokyo, Japan",Masao Kagawa and the JKS,2006 onwards,Tetsuhiko Asai (created); Masao Kagawa (standardised),yes,Shotokan Gankaku (Chinto lineage) > Asai's companion kata > JKS syllabus,"Japan Karate Shoto Federation (JKS) kata syllabus, Asai-ha | Funakoshi G. Karate-do Kyohan (1935; Ohshima trans. 1973) | Sells J. Unante: The Secrets of Karate, 2nd ed. (2000)"
Gojushiho Dai,五十四歩大,Gojushiho; Gojushiho Sho (labels contested); Hotaku; O Sip Sa Bo; Useishi,japanese,japanese-karate-generic|jka|shotokai|shotokan|skif|ska|asai-ryu|iskf|jska|kase-ha|kwf,senior,Useishi (五十四歩): Funakoshi's substitute name Hōtaku ('woodpecker') did not survive,"'Fifty-four steps, major'","Useishi lineage 19th century; Shotokan name from 1935, Dai/Sho split formalised by the JKA in the 1950s-60s",Unknown; Shuri-te lineage attributed to Sokon Matsumura and redacted by Anko Itosu,,Masatoshi Nakayama and the JKA,1950s-1960s,Sokon Matsumura (transmitted); Anko Itosu (modified); Gichin Funakoshi (renamed); Masatoshi Nakayama (standardised); Anko Itosu (standardised),yes,Useishi/Gojushiho (Shuri) > Matsumura line > Itosu > Gichin Funakoshi > JKA,"Funakoshi G. Karate-do Kyohan (1935; Ohshima trans. 1973) | Nakayama M. Best Karate vol. 11 (Kodansha, 1989) | Bishop M. Okinawan Karate, 2nd ed. (1999), Appendix C | Sells J. Unante: The Secrets of Karate, 2nd ed. (2000)"
